上「,あの
大,いに
いに,関係
関係,がある
がある,訳
訳,なのである
なのである,。
。,というのは
というのは,、
、,この
この,紳士泥坊
紳士泥坊,は
は,、
、,盗
盗,んだ
んだ,五万円
五万円,の
の,隠
隠,し
し,場所
場所,について
について,、
、,一言
一言,も
も,白状
白状,しなかったのである
しなかったのである,。
。,警察
警察,と
と,、
、,検事廷
検事廷,と
と,、
、,公判廷
公判廷,と
と,、
、,この
この,三
三,つの
つの,関所
関所,で
で,、
、,手
手,を
を,換
換,え
え,品
品,を
を,換
換,えて
えて,責
責,め
め,問
問,われても
われても,、
、,彼
彼,はただ
はただ,知
知,らないの
らないの,一点張
一点張,りで
りで,通
通,した
した,。
。,そして
そして,、
、,おしまいには
おしまいには,、
、,その
その,僅
僅,か
か,一週間
一週間,ばかりの
ばかりの,間
間,に
に,、
、,使
使,い
い,果
果,して
して,了
了,ったのだという
ったのだという,様
様,な
な,、
、,出鱈目
出鱈目,（
（,でたらめ
でたらめ,）
）,をさえ
をさえ,云
云,い
い,出
出,したのである
したのである,。
。,其筋
其筋,としては
としては,、
、,探偵
探偵,の
の,力
力,によって
によって,、
、,その
その,金
金,のありかを
のありかを,探
探,し
し,出
出,す
す,外
外,はなかった
はなかった,。
。,そして
そして,、
、,随分探
随分探,したらしいのであるが
したらしいのであるが,、
、,一向見
一向見,つからなかった
つからなかった,。
。,そこで
そこで,、
、,その
その,紳士泥坊
紳士泥坊,は
は,、
、,五万円隠匿
五万円隠匿,の
の,廉
廉,（
（,かど
かど,）
）,によって
によって,、
、,窃盗犯
窃盗犯,としては
としては,可也
可也,（
（,かなり
かなり,）
）,重
重,い
い,懲役
懲役,に
に,処
処,せられたのである
せられたのである,。
。,困
困,ったのは
ったのは,被害者
被害者,の
の,工場
工場,である
である,。
。,工場
工場,としては
としては,、
、,犯人
犯人,よりは
よりは,五万円
五万円,が
が,発見
発見,して
して,欲
欲,しかったのである
しかったのである,。
。,勿論
勿論,（
（,もちろん
もちろん,）、
）、,警察
警察,の
の,方
方,でもその
でもその,金
金,の
の,捜索
捜索,を
を,止
止,（
（,や
や,）
）,めた
めた,訳
訳,ではないが
ではないが,、
、,どうも
どうも,手
手,ぬるい
ぬるい,様
様,な
な,気
気,がする
がする,。
。,そこで
そこで,、
、,工場
工場,の
の,当
当,の
の,責任者
責任者,たる
たる,支配人
支配人,は
は,、
、,その
その,金
金,を
を,発見
発見,したものには
したものには,、
、,発見額
発見額,の
の,一割
一割,の
の,賞
賞,を
を,懸
懸,けるということを
けるということを,発表
発表,した
した,。
。,つまり
つまり,五千円
五千円,の
の,懸賞
懸賞,である
である,。
。,これからお
これからお,話
話,しようとする
しようとする,、
、,松村武
松村武,と
と,私自身
私自身,とに
とに,関
関,する
する,、
、,一寸興味
一寸興味,のある
のある,物語
物語,は
は,、
、,この
この,泥坊事件
泥坊事件,がこういう
がこういう,風
風,に
に,発展
発展,している
している,時
時,に
に,起
起,ったことなのである
ったことなのである,。
。,中
中,この
この,話
話,の
の,冒頭
冒頭,にも
にも,一寸述
一寸述,べた
べた,様
様,に
に,、
、,その
その,頃
頃,、
、,松村武
松村武,と
と,私
私,とは
とは,、
、,場末
場末,の
の,下駄屋
下駄屋,の
の,二階
二階,の
の,六畳
六畳,に
に,、
、,もうどうにもこうにも
もうどうにもこうにも,動
動,きがとれなくなって
きがとれなくなって,、
、,窮乏
窮乏,のどん
のどん,底
底,にのたうち
にのたうち,廻
廻,っていたのである
っていたのである,。
。,でも
でも,、
、,あらゆるみじめさの
あらゆるみじめさの,中
中,にも
にも,、
、,まだしも
まだしも,幸運
幸運,であったのは
であったのは,、
、,丁度時候
丁度時候,が
が,春
春,であったことだ
であったことだ,。
。,これは
これは,貧乏人丈
貧乏人丈,けにしか
けにしか,分
分,らない
らない,一
一,つの
つの,秘密
秘密,であるが
であるが,、
、,冬
冬,の
の,終
終,から
から,夏
夏,の
の,初
初,にかけて
にかけて,、
、,貧乏人
貧乏人,は
は,、
、,大分儲
大分儲,（
（,もう
もう,）
）,けるのである
けるのである,。
。,いや
いや,、
、,儲
儲,けたと
けたと,感
感,じるのである
じるのである,。
。,というのは
というのは,、
、,寒
寒,い
い,時丈
時丈,け
け,必要
必要,であった
であった,、
、,羽織
羽織,（
（,はおり
はおり,）
）,だとか
だとか,、
、,下着
下着,だとか
だとか,、
、,ひどいのになると
ひどいのになると,、
、,夜具
夜具,、
、,火鉢
火鉢,（
（,ひばち
ひばち,）
）,の
の,類
類,に
に,至
至,るまで
るまで,、
、,質屋
質屋,の
の,蔵
蔵,へ
へ,運
運,ぶことが
ぶことが,出来
出来,るからである
るからである,。
。,私共
私共,も
も,、
、,そうした
そうした,気候
気候,の
の,恩恵
恩恵,に
に,浴
浴,して
して,、
、,明日
明日,はどうなることか
はどうなることか,、
、,月末
月末,の
の,間代
間代,の
の,支払
支払,はどこから
はどこから,捻出
捻出,するか
するか,、
、,という
という,様
様,な
な,先
先,の
の,心配
心配,を
を,除
除,いては
いては,、
、,先
先,ず
ず,一寸
一寸,いきをついたのである
いきをついたのである,。
。,そして
そして,、
、,暫
暫,く
く,遠慮
遠慮,して
して,居
居,った
った,銭湯
銭湯,へも
へも,行
行,けば
けば,、
、,床屋
床屋,へも
へも,行
行,く
く,、
、,飯屋
飯屋,（
（,めしや
めしや,）
）,ではいつもの
ではいつもの,味噌汁
味噌汁,と
と,香
香,の
の,物
物,の
の,代
代,りに
りに,、
、,さしみで
さしみで,一合
一合,かなんかを
かなんかを,奮発
奮発,するといった
するといった,鹽梅
鹽梅,（
（,あんばい
あんばい,）
）,であった
であった,。
。,ある
ある,日
日,のこと
のこと,、
、,いい
いい,心持
心持,に
に,（
（,ゆだ
ゆだ,）
）,って
って,、
、,銭湯
銭湯,から
から,帰
帰,って
って,来
来,た
た,私
私,が
が,、
、,傷
傷,だらけの
だらけの,、
、,毀
毀,（
（,こわ
こわ,）
）,れかかった
れかかった,一閑張
一閑張,の
の,机
机,の
の,前
前,に
に,、
、,ドッカ
ドッカ,と
と,坐
坐,った
った,時
時,、
、,一人残
一人残,っていた
っていた,松村武
松村武,が
が,、
、,妙
妙,な
な,、
、,一種
一種,の
の,興奮
興奮,した
した,様
様,な
な,顔付
顔付,を
を,以
以,て
て,、
、,私
私,にこんなことを
にこんなことを,聞
聞,いたのである
いたのである,。「
。「,君
君,、
、,この
この,、
、,僕
僕,の
の,机
机,の
の,上
上,に
に,二銭銅貨
二銭銅貨,をのせて
をのせて,置
置,いたのは
いたのは,君
君,だろう
だろう,。
。,あれは
あれは,、
、,どこから
どこから,持
持,って
って,来
来,たのだ
たのだ,」「
」「,アア
アア,、
、,俺
俺,だよ
だよ,。
。,さっき
さっき,煙草
煙草,を
を,買
買,ったおつりさ
ったおつりさ,」「
」「,どこの
どこの,煙草屋
煙草屋,だ
だ,」「
」「,飯屋
飯屋,の
の,隣
隣,の
の,、
、,あの
あの,婆
婆,（
（,ばあ
ばあ,）
）,さんのいる
さんのいる,不景気
不景気,なうちさ
なうちさ,」「
」「,フ
フ,ー
ー,ム
ム,、
、,そうか
そうか,」
」,と
と,、
、,どういう
どういう,訳
訳,か
か,、
、,松村
松村,はひどく
はひどく,考
考,え
え,込
込,んだのである
んだのである,。
。,そして
そして,、
、,尚
尚,も
も,執拗
執拗,にその
にその,二銭銅貨
二銭銅貨,について
について,尋
尋,ねるのであった
ねるのであった,。「
。「,君
君,、
、,その
その,時
時,、
、,君
君,が
が,煙草
煙草,を
を,買
買,った
った,時
時,だ
だ,、
、,誰
誰,か
か,外
外,にお
にお,客
客,はいなかったかい
はいなかったかい,」「
」「,確
確,か
か,、
、,いなかった
いなかった,様
様,だ
だ,。
。,そうだ
そうだ,。
。,いる
いる,筈
筈,がない
がない,。
。,その
その,時
時,あの
あの,婆
婆,さんは
さんは,居眠
居眠,りをしていたんだ
りをしていたんだ,」
」,この
この,答
答,を
を,聞
聞,いて
いて,、
、,松村
松村,は
は,何
何,か
か,安心
安心,した
した,様子
様子,であった
であった,。「
。「,だが
だが,、
、,あの
あの,煙草屋
煙草屋,には
には,、
、,あの
あの,婆
婆,さんの
さんの,外
外,に
に,、
、,どんな
どんな,連中
連中,がいるんだろう
がいるんだろう,。
。,君
君,は
は,知
知,らないかい
らないかい,」「
」「,俺
俺,は
は,、
、,あの
あの,婆
婆,さんとは
さんとは,仲
仲,よしなんだ
よしなんだ,。
。,あの
あの,不景気
不景気,な
な,仏頂面
仏頂面,（
（,ぶっちょうづら
ぶっちょうづら,）
）,が
が,、
、,俺
俺,の
の,アブノ
アブノ,ー
ー,マル
マル,な
な,嗜好
嗜好,（
（,しこう
しこう,）
）,に
に,適
適,したという
したという,訳
訳,でね
でね,。
。,だから
だから,、
、,俺
俺,は
は,相当
相当,あの
あの,煙草屋
煙草屋,については
については,詳
詳,しいんだ
しいんだ,。
。,あそこには
あそこには,婆
婆,さんの
さんの,外
外,に
に,、
、,婆
婆,さんよりはもっと
さんよりはもっと,不景気
不景気,な
な,爺
爺,（
（,じい
じい,）
）,さんがいる
さんがいる,切
切,りだ
りだ,。
。,併
併,（
（,しか
しか,）
）,し
し,君
君,はそんなことを
はそんなことを,聞
聞,いてどうしようというのだ
いてどうしようというのだ,。
。,どうかしたんじゃないかい
どうかしたんじゃないかい,」「
」「,マア
マア,いい
いい,。
。,一寸訳
一寸訳,があるんだ
があるんだ,。
。,ところで
ところで,君
君,が
が,詳
詳,しいというのなら
しいというのなら,、
、,も
も,少
少,しあの
しあの,煙草屋
煙草屋,のことを
のことを,話
話,さないか
さないか,」「
」「,ウン
ウン,、
、,話
話,してもいい
してもいい,。
。,爺
爺,さんと
さんと,婆
婆,さんとの
さんとの,間
間,に
に,一人
一人,の
の,娘
娘,がある
がある,。
。,俺
俺,は
は,一度
一度,か
か,二度
二度,その
その,娘
娘,を
を,見
見,かけたが
かけたが,、
、,そう
そう,悪
悪,くない
くない,容色
容色,（
（,きりょう
きりょう,）
）,だぜ
だぜ,。
。,それがなんでも
それがなんでも,、
、,監獄
監獄,の
の,差入屋
差入屋,（
（,さしいれや
さしいれや,）
）,とかへ
とかへ,嫁
嫁,（
（,かたづ
かたづ,）
）,いているという
いているという,話
話,だ
だ,。
。,その
その,差入屋
差入屋,が
が,相当
相当,に
に,暮
暮,しているので
しているので,、
、,その
その,仕送
仕送,りで
りで,、
、,あの
あの,不景気
不景気,な
な,煙草屋
煙草屋,も
も,、
、,つぶれないで
つぶれないで,、
、,どうかこうかやっているのだと
どうかこうかやっているのだと,、
、,いつか
いつか,婆
婆,さんが
さんが,話
話,していたっけ
していたっけ,。……」
。……」,こう
こう,、
、,私
私,が
が,煙草屋
煙草屋,に
に,関
関,する
する,知識
知識,について
について,話
話,し
し,始
始,めた
めた,時
時,に
に,、
、,驚
驚,いたことには
いたことには,、
、,それを
それを,話
話,して
して,呉
呉,れと
れと,頼
頼,んで
んで,置
置,きながら
きながら,、
、,もう
もう,聞
聞,き
き,度
度,くないと
くないと,云
云,わぬばかりに
わぬばかりに,、
、,松村武
松村武,が
が,立上
立上,ったのである
ったのである,。
。,そして
そして,、
、,広
広,くもない
くもない,座敷
座敷,を
を,、
、,隅
隅,から
から,隅
隅,へ
へ,丁度動物園
丁度動物園,の
の,熊
熊,の
の,様
様,に
に,、
、,ノソリノソリ
ノソリノソリ,と
と,歩
歩,き
き,始
始,めたのである
めたのである,。
。,私共
私共,は
は,、
、,二人共
二人共,、
、,日頃
日頃,から
から,随分気
随分気,まぐれな
まぐれな,方
方,であった
であった,。
。,話
話,の
の,間
間,に
に,突然立上
突然立上,るなどは
るなどは,、
、,そう
そう,珍
珍,しいことでもなかった
しいことでもなかった,。
。,けれども
けれども,、
、,この
この,場合
場合,の
の,松村
松村,の
の,態度
態度,は
は,、
、,私
私,をして
をして,沈黙
沈黙,せしめた
せしめた,程
程,も
も,、
、,変
変,っていたのである
っていたのである,。
。,松村
松村,はそうして
はそうして,、
、,部屋
部屋,の
の,中
中,をあっちへ
をあっちへ,行
行,ったり
ったり,、
、,こっちへ
こっちへ,行
行,ったり
ったり,、
、,約三十分位歩
約三十分位歩,き
き,廻
廻,っていた
っていた,。
。,私
私,は
は,黙
黙,って
って,、
、,一種
一種,の
の,興味
興味,を
を,以
以,て
て,、
、,それを
それを,眺
眺,めていた
めていた,。
。,その
その,光景
光景,は
は,、
、,若
若,し
し,傍観者
傍観者,があって
があって,、
、,之
之,（
（,これ
これ,）
）,を
を,見
見,たら
たら,、
、,余程狂気
余程狂気,じみたものであったに
じみたものであったに,相違
相違,ないのである
ないのである,。
。,そうこうする
そうこうする,内
内,に
に,、
、,私
私,は
は,腹
腹,が
が,減
減,って
って,来
来,たのである
たのである,。
。,丁度夕食時分
丁度夕食時分,ではあったし
ではあったし,、
、,湯
湯,に
に,入
入,った
った,私
私,は
は,余計
余計,に
に,腹
腹,が
が,減
減,った
った,様
様,が
が,気
気,がしたのである
がしたのである,。
。,そこで
そこで,、
、,まだ
まだ,狂気
狂気,じみた
じみた,歩行
歩行,を
を,続
続,けている
けている,松村
松村,に
に,、
、,飯屋
飯屋,に
に,行
行,かぬかと
かぬかと,勧
勧,めて
めて,見
見,た
た,所
所,が
が,、「
、「,済
済,まないが
まないが,、
、,君一人
君一人,で
で,行
行,って
って,呉
呉,れ
れ,」
」,という
という,返事
返事,だ
だ,。
。,仕方
仕方,なく
なく,、
、,私
私,はその
はその,通
通,りにした
りにした,。
。,さて
さて,、
、,満腹
満腹,した
した,私
私,が
が,、
、,飯屋
飯屋,から
から,帰
帰,って
って,来
来,ると
ると,、
、,なんと
なんと,珍
珍,らしいことには
らしいことには,、
、,松村
松村,が
が,按摩
按摩,（
（,あんま
あんま,）
）,を
を,呼
呼,んで
んで,、
、,もませていた
もませていた,。
。,以前
以前,は
は,私共
私共,のお
のお,馴染
馴染,（
（,なじみ
なじみ,）
）,であった
であった,、
、,若
若,い
い,盲唖学校
盲唖学校,の
の,生徒
生徒,が
が,、
、,松村
松村,の
の,肩
肩,につかまって
につかまって,、
、,しきりと
しきりと,何
何,か
か,、
、,持前
持前,のお
のお,喋
喋,りをやっているのであった
りをやっているのであった,。「
。「,君
君,、
、,贅沢
贅沢,（
（,ぜいたく
ぜいたく,）
）,だと
だと,思
思,っちゃいけない
っちゃいけない,。
。,これには
これには,訳
訳,があるんだ
があるんだ,。
。,マア
マア,、
、,暫
暫,く
く,黙
黙,って
って,見
見,ていて
ていて,呉
呉,れ
れ,。
。,その
その,内
内,に
に,分
分,るから
るから,」
」,松村
松村,は
は,、
、,私
私,の
の,機先
機先,（
（,きせん
きせん,）
）,を
を,制
制,（
（,せい
せい,）
）,して
して,、
、,非難
非難,を
を,予防
予防,する
する,様
様,に
に,云
云,った
った,。
。,昨日
昨日,、
、,質屋
質屋,の
の,番頭
番頭,を
を,説
説,（
（,と
と,）
）,きつけて
きつけて,、
、,寧
寧,ろ
ろ,強奪
強奪,して
して,、
、,やっと
やっと,手
手,に
に,入
入,れた
れた,二十円
二十円,なにがしの
なにがしの,共有財産
共有財産,の
の,寿命
寿命,が
が,、
、,按摩賃六十銭丈
按摩賃六十銭丈,け
け,縮
縮,められることは
められることは,、
、,此際
此際,（
（,このさい
このさい,）、
）、,確
確,かに
かに,贅沢
贅沢,に
に,相違
相違,なかったからである
なかったからである,。
。,私
私,は
は,、
、,これらの
これらの,、
、,ただならぬ
ただならぬ,松村
松村,の
の,態度
態度,について
について,、
、,ある
ある,、
、,言
言,い
い,知
知,れぬ
れぬ,興味
興味,を
を,覚
覚,えた
えた,。
。,そこで
そこで,、
、,私
私,は
は,自分
自分,の
の,机
机,の
の,前
前,に
に,坐
坐,って
って,、
、,古本屋
古本屋,で
で,買
買,って
って,来
来,た
た,講談本
講談本,か
か,何
何,かを
かを,、
、,読耽
読耽,っている
っている,様子
様子,をした
をした,。
。,そして
そして,、
、,実
実,は
は,松村
松村,の
の,挙動
挙動,を
を,ソッ
ソッ,と
と,盗
盗,み
み,見
見,ていたのである
ていたのである,。
。,按摩
按摩,が
が,帰
帰,って
って,了
了,うと
うと,、
、,松村
松村,も
も,彼
彼,の
の,机
机,の
の,前
前,に
に,坐
坐,って
って,、
、,何
何,か
か,紙切
紙切,れに
れに,書
書,いたものを
いたものを,読
読,んでいる
んでいる,様
様,であったが
であったが,、
、,軈
軈,（
（,やが
やが,）
）,て
て,彼
彼,は
は,懐中
懐中,から
から,、
、,もう
もう,一枚
一枚,の
の,紙切
紙切,れを
れを,取出
取出,して
して,机
机,の
の,上
上,に
に,置
置,いた
いた,。
。,それは
それは,、
、,極
極,く
く,薄
薄,く
く,、
、,二寸四方程
二寸四方程,の
の,、
、,小
小,さいもので
さいもので,、
、,細
細,い
い,文字
文字,が
が,一面
一面,に
に,認
認,めてあった
めてあった,。
。,彼
彼,は
は,、
、,この
この,二枚
二枚,の
の,紙片
紙片,れを
れを,、
、,熱心
熱心,に
に,比較研究
比較研究,している
している,様
様,であった
であった,。
。,そして
そして,、
、,鉛筆
鉛筆,を
を,以
以,て
て,、
、,新聞紙
新聞紙,の
の,余白
余白,に
に,、
、,何
何,か
か,書
書,いては
いては,消
消,し
し,、
、,書
書,いては
いては,消
消,していた
していた,。
。,そんなことをしている
そんなことをしている,間
間,に
に,、
、,電燈
電燈,が
が,点
点,いたり
いたり,、
、,表通
表通,りを
りを,豆腐屋
豆腐屋,の
の,ラッパ
ラッパ,が
が,通過
通過,ぎたり
ぎたり,、
、,縁日
縁日,（
（,えんにち
えんにち,）
）,にでも
にでも,行
行,くらしい
くらしい,人通
人通,りが
りが,、
、,暫
暫,く
く,続
続,いたり
いたり,、
、,それが
それが,途絶
途絶,（
（,とだ
とだ,）
）,えると
えると,、
、,支那蕎麦屋
支那蕎麦屋,（
（,そばや
そばや,）
）,の
の,哀
哀,れげな
れげな,チャルメラ
チャルメラ,の
の,音
音,（
（,ね
ね,）
）,が
が,聞
聞,えたりして
えたりして,、
、,いつの
いつの,間
間,にか
にか,夜
夜,が
が,更
更,けたのである
けたのである,。
。,それでも
それでも,松村
松村,は
は,、
、,食事
食事,さえ
さえ,忘
忘,れて
れて,、
、,この
この,妙
妙,な
な,仕事
仕事,に
に,没頭
没頭,していた
していた,。
。,私
私,は
は,黙
黙,って
って,、
、,自分
自分,の
の,床
床,を
を,敷
敷,いて
いて,、
、,ゴロリ
ゴロリ,横
横,になると
になると,、
、,退屈
退屈,にも
にも,、
、,一度読
一度読,んだ
んだ,講談
講談,を
を,、
、,更
更,らに
らに,読
読,み
み,返
返,しでもする
しでもする,外
外,はなかったのである
はなかったのである,。「
。「,君
君,、
、,東京地図
東京地図,はなかったかしら
はなかったかしら,」
」,突然
突然,、
、,松村
松村,がこういって
がこういって,、
、,私
私,の
の,方
方,を
を,振向
振向,いた
いた,。「
。「,サア
サア,、
、,そんなものはないだろう
そんなものはないだろう,。
。,下
下,のお
のお,上
上,さんにでも
さんにでも,聞
聞,いて
いて,見
見,たらどうだ
たらどうだ,」「
」「,ウン
ウン,、
、,そうだな
そうだな,」
」,彼
彼,は
は,直
直,ぐに
ぐに,立上
立上,って
って,、
、,ギシギシ
ギシギシ,いう
いう,梯子
梯子,（
（,はしご
はしご,）
）,段
段,を
を,下
下,へ
へ,降
降,りて
りて,行
行,ったが
ったが,、
、,軈
軈,て
て,、
、,一枚
一枚,の
の,折目
折目,から
から,破
破,れ
れ,相
相,になった
になった,東京地図
東京地図,を
を,借
借,りて
りて,来
来,た
た,。
。,そして
そして,、
、,又机
又机,の
の,前
前,に
に,坐
坐,ると
ると,、
、,熱心
熱心,な
な,研究
研究,を
を,続
続,けるのであった
けるのであった,。
。,私
私,は
は,益
益,々
々,募
募,る
る,好奇心
好奇心,を
を,以
以,て
て,彼
彼,の
の,様子
様子,を
を,眺
眺,めていた
めていた,。
。,下
下,の
の,時計
時計,が
が,九時
九時,を
を,打
打,った
った,。
。,松村
松村,は
は,、
、,長
長,い
い,間
間,の
の,研究
研究,が
が,、
、,一段落
一段落,を
を,告
告,げたと
げたと,見
見,えて
えて,、
、,机
机,の
の,前
前,から
から,立上
立上,って
って,私
私,の
の,枕頭
枕頭,（
（,まくらもと
まくらもと,）
）,へ
へ,坐
坐,った
った,。
。,そして
そして,少
少,し
し,言
言,いにく
いにく,相
相,（
（,そう
そう,）
）,に
に,、「
、「,君
君,、
、,一寸
一寸,、
、,十円
十円,ばかり
ばかり,出
出,して
して,呉
呉,れないか
れないか,」
」,と
と,云
云,うのだ
うのだ,。
。,私
私,は
は,、
、,松村
松村,のこの
のこの,不思議
不思議,な
な,挙動
挙動,については
については,、
、,読者
読者,にはまだ
にはまだ,明
明,してない
してない,所
所,の
の,、
、,私丈
私丈,けの
けの,深
深,い
い,興味
興味,を
を,持
持,っていた
っていた,。
。,それ
それ,故
故,、
、,彼
彼,に
に,十円
十円,という
という,、
、,当時
当時,の
の,私共
私共,に
に,取
取,っては
っては,、
、,全財産
全財産,の
の,半分
半分,であったところの
であったところの,大金
大金,を
を,与
与,えることに
えることに,、
、,少
少,しも
しも,異議
異議,を
を,唱
唱,えなかった
えなかった,。
。,松村
松村,は
は,、
、,私
私,から
から,十円札
十円札,を
を,受取
受取,ると
ると,、
、,古袷
古袷,（
（,ふるあわせ
ふるあわせ,）
）,一枚
一枚,に
に,、
、,皺
皺,くちゃの
くちゃの,ハンチング
ハンチング,という
という,扮装
扮装,で
で,、
、,何
何,も
も,云
云,わずに
わずに,、
、,プイ
プイ,とどこかへ
とどこかへ,出
出,て
て,行
行,った
った,。
。,一人取残
一人取残,された
された,私
私,は
は,、
、,松村
松村,の
の,其後
其後,の
の,行動
行動,について
について,、
、,色
色,々
々,想像
想像,を
を,廻
廻,らした
らした,。
。,そして
そして,独
独,りほくそ
りほくそ,笑
笑,んでいる
んでいる,内
内,に
に,、
、,いつか
いつか,、
、,うとうとと
うとうとと,夢路
夢路,に
に,入
入,った
った,。
。,暫
暫,くして
くして,松村
松村,が
が,帰
帰,って
って,来
来,たのを
たのを,、
、,夢現
夢現,（
（,ゆめうつつ
ゆめうつつ,）
）,に
に,覚
覚,えていたが
えていたが,、
、,それからは
それからは,、
、,何
何,も
も,知
知,らずに
らずに,、
、,グッスリ
グッスリ,と
と,朝
朝,まで
まで,寝込
寝込,んで
んで,了
了,ったのである
ったのである,。
。,随分寝坊
随分寝坊,の
の,私
私,は
は,、
、,十時頃
十時頃,でもあったろうか
でもあったろうか,、
、,眼
眼,を
を,醒
醒,して
して,見
見,ると
ると,、
、,枕頭
枕頭,に
に,妙
妙,なものが
なものが,立
立,っているのに
っているのに,驚
驚,かされた
かされた,。
。,というのは
というのは,、
、,そこには
そこには,、
、,縞
縞,（
（,しま
しま,）
）,の
の,着物
着物,に
に,角帯
角帯,を
を,締
締,めて
めて,、
、,紺
紺,の
の,前垂
前垂,れをつけた
れをつけた,一人
一人,の
の,商人風
商人風,の
の,男
男,が
が,、
、,一寸
一寸,した
した,風呂敷包
風呂敷包,を
を,背負
背負,（
（,しょ
しょ,）
）,って
って,立
立,っていたのである
っていたのである,。「
。「,なにを
なにを,妙
妙,な
な,顔
顔,をしているんだ
をしているんだ,。
。,俺
俺,だよ
だよ,」
」,驚
驚,いたことには
いたことには,、
、,その
その,男
男,が
が,、
、,松村武
松村武,の
の,声
声,を
を,以
以,て
て,、
、,こういったのである
こういったのである,。
。,よくよく
よくよく,見
見,ると
ると,、
、,それは
それは,如何
如何,にも
にも,松村
松村,に
に,相違
相違,ないのだが
ないのだが,、
、,服装
服装,がまるで
がまるで,変
変,っていたので
っていたので,、
、,私
私,は
は,暫
暫,くの
くの,間
間,、
、,何
何,が
が,何
何,だか
だか,、
、,訳
訳,がわからなかったのである
がわからなかったのである,。「
。「,どうしたんだ
どうしたんだ,。
。,風呂敷包
風呂敷包,なんか
なんか,背負
背負,って
って,。
。,それに
それに,、
、,そのなりはなんだ
そのなりはなんだ,。
。,俺
俺,はどこの
はどこの,番頭
番頭,さんかと
さんかと,思
思,った
った,」「
」「,シッ
シッ,、
、,シッ
シッ,、
、,大
大,きな
きな,声
声,だなあ
だなあ,」
」,松村
松村,は
は,両手
両手,で
で,抑
抑,（
（,おさ
おさ,）
）,えつける
えつける,様
様,な
な,恰好
恰好,をして
をして,、
、,囁
囁,（
（,ささや
ささや,）
）,く
く,様
様,な
な,小声
小声,で
で,、「
、「,大変
大変,なお
なお,土産
土産,を
を,持
持,って
って,来
来,たよ
たよ,」
」,というのである
というのである,。「
。「,君
君,はこんなに
はこんなに,早
早,く
く,、
、,どっかへ
どっかへ,行
行,って
って,来
来,たのかい
たのかい,」
」,私
私,も
も,、
、,彼
彼,の
の,変
変,な
な,挙動
挙動,につられて
につられて,、
、,思
思,わず
わず,声
声,を
を,低
低,くして
くして,聞
聞,いた
いた,。
。,すると
すると,、
、,松村
松村,は
は,、
、,抑
抑,えつけても
えつけても,抑
抑,えつけても
えつけても,、
、,溢
溢,れて
れて,来
来,る
る,様
様,な
な,、
、,ニタニタ
ニタニタ,笑
笑,いを
いを,顔一杯
顔一杯,に
に,漲
漲,（
（,みなぎ
みなぎ,）
）,らせながら
らせながら,、
、,彼
彼,の
の,口
口,を
を,私
私,の
の,耳
耳,の
の,側
側,（
（,そば
そば,）
）,まで
まで,持
持,って
って,来
来,て
て,、
、,前
前,よりは
よりは,一層低
一層低,い
い,、
、,あるかなきかの
あるかなきかの,声
声,で
で,、
、,こういったのである
こういったのである,。「
。「,この
この,風呂敷包
風呂敷包,の
の,中
中,には
には,、
、,君
君,、
、,五万円
五万円,という
という,金
金,が
が,這入
這入,っているのだよ
っているのだよ,」
」,下読者
下読者,も
も,既
既,に
に,想像
想像,されたであろう
されたであろう,様
様,に
に,、
、,松村武
松村武,は
は,、
、,問題
問題,の
の,紳士泥坊
紳士泥坊,の
の,隠
隠,して
して,置
置,いた
いた,五万円
五万円,を
を,、
、,どこからか
どこからか,持
持,って
って,来
来,たのであった
たのであった,。
。,それは
それは,、
、,彼
彼,の
の,電気工場
電気工場,へ
へ,持参
持参,すれば
すれば,、
、,五千円
五千円,の
の,懸賞金
懸賞金,に
に,与
与,（
（,あずか
あずか,）
）,ることの
ることの,出来
出来,る
る,五万円
五万円,であった
であった,。
。,だが
だが,、
、,松村
松村,はそうしない
はそうしない,積
積,りだと
りだと,云
云,った
った,。
。,そして
そして,、
、,その
その,理由
理由,（
（,わけ
わけ,）
）,を
を,次
次,の
の,様
様,に
に,説明
説明,した
した,。
。,彼
彼,に
に,云
云,わせると
わせると,、
、,その
その,金
金,を
を,馬鹿正直
馬鹿正直,に
に,届
届,け
け,出
出,るのは
るのは,、
、,愚
愚,（
（,おろか
おろか,）
）,なことであるばかりでなく
なことであるばかりでなく,、
、,同時
同時,に
に,、
、,非常
非常,に
に,危険
危険,なことでもあるというのであった
なことでもあるというのであった,。
。,其筋
其筋,の
の,専門
専門,の
の,刑事達
刑事達,が
が,、
、,約一箇月
約一箇月,もかかって
もかかって,探
探,し
し,廻
廻,っても
っても,、
、,発見
発見,されなかったこの
されなかったこの,金
金,である
である,。
。,仮令
仮令,このまま
このまま,我
我,々
々,が
が,頂戴
頂戴,して
して,置
置,いた
いた,所
所,で
で,、
、,誰
誰,が
が,疑
疑,うものか
うものか,、
、,我
我,々
々,にしたって
にしたって,、
、,五千円
五千円,よりは
よりは,五万円
五万円,の
の,方
方,が
が,有難
有難,いではないか
いではないか,。
。,それよりも
それよりも,恐
恐,しいのは
しいのは,、
、,彼奴
彼奴,（
（,きゃつ
きゃつ,）、
）、,紳士泥坊
紳士泥坊,の
の,復讐
復讐,である
である,。
。,こいつが
こいつが,恐
恐,しい
しい,。
。,刑期
刑期,の
の,延
延,びるのを
びるのを,犠牲
犠牲,にしてまで
にしてまで,隠
隠,して
して,置
