一,親譲
あさい,）
）,の
の,民
民,（
（,たみ
たみ,）
）,さんと
さんと,云
云,う
う,子
子,が
が,同級生
同級生,にあったが
にあったが,、
、,この
この,浅井
浅井,のおやじがやはり
のおやじがやはり,、
、,こんな
こんな,色
色,つやだった
つやだった,。
。,浅井
浅井,は
は,百姓
百姓,（
（,ひゃくしょう
ひゃくしょう,）
）,だから
だから,、
、,百姓
百姓,になるとあんな
になるとあんな,顔
顔,になるかと
になるかと,清
清,に
に,聞
聞,いてみたら
いてみたら,、
、,そうじゃありません
そうじゃありません,、
、,あの
あの,人
人,はうらなりの
はうらなりの,唐茄子
唐茄子,（
（,とうなす
とうなす,）
）,ばかり
ばかり,食
食,べるから
べるから,、
、,蒼
蒼,くふくれるんですと
くふくれるんですと,教
教,えてくれた
えてくれた,。
。,それ
それ,以来蒼
以来蒼,くふくれた
くふくれた,人
人,を
を,見
見,れば
れば,必
必,ずうらなりの
ずうらなりの,唐茄子
唐茄子,を
を,食
食,った
った,酬
酬,（
（,むく
むく,）
）,いだと
いだと,思
思,う
う,。
。,この
この,英語
英語,の
の,教師
教師,もうらなりばかり
もうらなりばかり,食
食,ってるに
ってるに,違
違,（
（,ちが
ちが,）
）,いない
いない,。
。,もっともうらなりとは
もっともうらなりとは,何
何,の
の,事
事,か
か,今
今,もって
もって,知
知,らない
らない,。
。,清
清,に
に,聞
聞,いてみた
いてみた,事
事,はあるが
はあるが,、
、,清
清,は
は,笑
笑,って
って,答
答,えなかった
えなかった,。
。,大方清
大方清,も
も,知
知,らないんだろう
らないんだろう,。
。,それからおれと
それからおれと,同
同,じ
じ,数学
数学,の
の,教師
教師,に
に,堀田
堀田,（
（,ほった
ほった,）
）,というのが
というのが,居
居,た
た,。
。,これは
これは,逞
逞,（
（,たくま
たくま,）
）,しい
しい,毬栗坊主
毬栗坊主,（
（,いがぐりぼうず
いがぐりぼうず,）
）,で
で,、
、,叡山
叡山,（
（,えいざん
えいざん,）
）,の
の,悪僧
悪僧,（
（,あくそう
あくそう,）
）,と
と,云
云,うべき
うべき,面構
面構,（
（,つらがまえ
つらがまえ,）
）,である
である,。
。,人
人,が
が,叮寧
叮寧,（
（,ていねい
ていねい,）
）,に
に,辞令
辞令,を
を,見
見,せたら
せたら,見向
見向,きもせず
きもせず,、
、,やあ
やあ,君
君,が
が,新任
新任,の
の,人
人,か
か,、
、,ちと
ちと,遊
遊,びに
びに,来給
来給,（
（,きたま
きたま,）
）,え
え,アハハハ
アハハハ,と
と,云
云,った
った,。
。,何
何,が
が,アハハハ
アハハハ,だ
だ,。
。,そんな
そんな,礼儀
礼儀,（
（,れいぎ
れいぎ,）
）,を
を,心得
心得,ぬ
ぬ,奴
奴,の
の,所
所,へ
へ,誰
誰,が
が,遊
遊,びに
びに,行
行,くものか
くものか,。
。,おれはこの
おれはこの,時
時,からこの
からこの,坊主
坊主,に
に,山嵐
山嵐,（
（,やまあらし
やまあらし,）
）,という
という,渾名
渾名,（
（,あだな
あだな,）
）,をつけてやった
をつけてやった,。
。,漢学
漢学,の
の,先生
先生,はさすがに
はさすがに,堅
堅,（
（,かた
かた,）
）,いものだ
いものだ,。
。,昨日
昨日,お
お,着
着,きで
きで,、
、,さぞお
さぞお,疲
疲,れで
れで,、
、,それでもう
それでもう,授業
授業,をお
をお,始
始,めで
めで,、
、,大分
大分,ご
ご,励精
励精,（
（,れいせい
れいせい,）
）,で
で,、——
、——,とのべつに
とのべつに,弁
弁,じたのは
じたのは,愛嬌
愛嬌,（
（,あいきょう
あいきょう,）
）,のあるお
のあるお,爺
爺,（
（,じい
じい,）
）,さんだ
さんだ,。
。,画学
画学,の
の,教師
教師,は
は,全
全,く
く,芸人風
芸人風,だ
だ,。
。,べらべらした
べらべらした,透綾
透綾,（
（,すきや
すきや,）
）,の
の,羽織
羽織,を
を,着
着,て
て,、
、,扇子
扇子,（
（,せんす
せんす,）
）,をぱちつかせて
をぱちつかせて,、
、,お
お,国
国,はどちらでげす
はどちらでげす,、
、,え
え,？
？,東京
東京,？
？,そりゃ
そりゃ,嬉
嬉,（
（,うれ
うれ,）
）,しい
しい,、
、,お
お,仲間
仲間,が
が,出来
出来,て
て,……
……,私
私,（
（,わたし
わたし,）
）,もこれで
もこれで,江戸
江戸,（
（,えど
えど,）
）,っ
っ,子
子,ですと
ですと,云
云,った
った,。
。,こんなのが
こんなのが,江戸
江戸,っ
っ,子
子,なら
なら,江戸
江戸,には
には,生
生,れたくないもんだと
れたくないもんだと,心中
心中,に
に,考
考,えた
えた,。
。,そのほか
そのほか,一人一人
一人一人,についてこんな
についてこんな,事
事,を
を,書
書,けばいくらでもある
けばいくらでもある,。
。,しかし
しかし,際限
際限,がないからやめる
がないからやめる,。
。,挨拶
挨拶,が
が,一通
一通,り
り,済
済,んだら
んだら,、
、,校長
校長,が
が,今日
今日,はもう
はもう,引
引,き
き,取
取,ってもいい
ってもいい,、
、,もっとも
もっとも,授業上
授業上,の
の,事
事,は
は,数学
数学,の
の,主任
主任,と
と,打
打,ち
ち,合
合,せをしておいて
せをしておいて,、
、,明後日
明後日,（
（,あさって
あさって,）
）,から
から,課業
課業,を
を,始
始,めてくれと
めてくれと,云
云,った
った,。
。,数学
数学,の
の,主任
主任,は
は,誰
誰,かと
かと,聞
聞,いてみたら
いてみたら,例
例,の
の,山嵐
山嵐,であった
であった,。
。,忌
忌,々（
々（,いまいま
いまいま,）
）,しい
しい,、
、,こいつの
こいつの,下
下,に
に,働
働,くのかおやおやと
くのかおやおやと,失望
失望,した
した,。
。,山嵐
山嵐,は
は,「
「,おい
おい,君
君,どこに
どこに,宿
宿,（
（,とま
とま,）
）,ってるか
ってるか,、
、,山城屋
山城屋,か
か,、
、,うん
うん,、
、,今
今,に
に,行
行,って
って,相談
相談,する
する,」
」,と
と,云
云,い
い,残
残,して
して,白墨
白墨,（
（,はくぼく
はくぼく,）
）,を
を,持
持,って
って,教場
教場,へ
へ,出
出,て
て,行
行,った
った,。
。,主任
主任,の
の,癖
癖,に
に,向
向,うから
うから,来
来,て
て,相談
相談,するなんて
するなんて,不見識
不見識,な
な,男
男,だ
だ,。
。,しかし
しかし,呼
呼,び
び,付
付,けるよりは
けるよりは,感心
感心,だ
だ,。
。,それから
それから,学校
学校,の
の,門
門,を
を,出
出,て
て,、
、,すぐ
すぐ,宿
宿,へ
へ,帰
帰,ろうと
ろうと,思
思,ったが
ったが,、
、,帰
帰,ったって
ったって,仕方
仕方,がないから
がないから,、
、,少
少,し
し,町
町,を
を,散歩
散歩,してやろうと
してやろうと,思
思,って
って,、
、,無暗
無暗,に
に,足
足,の
の,向
向,く
く,方
方,をあるき
をあるき,散
散,らした
らした,。
。,県庁
県庁,も
も,見
見,た
た,。
。,古
古,い
い,前世紀
前世紀,の
の,建築
建築,である
である,。
。,兵営
兵営,も
も,見
見,た
た,。
。,麻布
麻布,（
（,あざぶ
あざぶ,）
）,の
の,聯隊
聯隊,（
（,れんたい
れんたい,）
）,より
より,立派
立派,でない
でない,。
。,大通
大通,りも
りも,見
見,た
た,。
。,神楽坂
神楽坂,（
（,かぐらざか
かぐらざか,）
）,を
を,半分
半分,に
に,狭
狭,くしたぐらいな
くしたぐらいな,道幅
道幅,（
（,みちはば
みちはば,）
）,で
で,町並
町並,（
（,まちなみ
まちなみ,）
）,はあれより
はあれより,落
落,ちる
ちる,。
。,二十五万石
二十五万石,の
の,城下
城下,だって
だって,高
高,の
の,知
知,れたものだ
れたものだ,。
。,こんな
こんな,所
所,に
に,住
住,んでご
んでご,城下
城下,だなどと
だなどと,威張
威張,（
（,いば
いば,）
）,ってる
ってる,人間
人間,は
は,可哀想
可哀想,（
（,かわいそう
かわいそう,）
）,なものだと
なものだと,考
考,えながらくると
えながらくると,、
、,いつしか
いつしか,山城屋
山城屋,の
の,前
前,に
に,出
出,た
た,。
。,広
広,いようでも
いようでも,狭
狭,いものだ
いものだ,。
。,これで
これで,大抵
大抵,（
（,たいてい
たいてい,）
）,は
は,見尽
見尽,（
（,みつく
みつく,）
）,したのだろう
したのだろう,。
。,帰
帰,って
って,飯
飯,でも
でも,食
食,おうと
おうと,門口
門口,をはいった
をはいった,。
。,帳場
帳場,に
に,坐
坐,（
（,すわ
すわ,）
）,っていたかみさんが
っていたかみさんが,、
、,おれの
おれの,顔
顔,を
を,見
見,ると
ると,急
急,に
に,飛
飛,び
び,出
出,してきてお
してきてお,帰
帰,り
り,……
……,と
と,板
板,の
の,間
間,へ
へ,頭
頭,をつけた
をつけた,。
。,靴
靴,（
（,くつ
くつ,）
）,を
を,脱
脱,（
（,ぬ
ぬ,）
）,いで
いで,上
上,がると
がると,、
、,お
お,座敷
座敷,（
（,ざしき
ざしき,）
）,があきましたからと
があきましたからと,下女
下女,が
が,二階
二階,へ
へ,案内
案内,をした
をした,。
。,十五畳
十五畳,（
（,じょう
じょう,）
）,の
の,表二階
表二階,で
で,大
大,きな
きな,床
床,（
（,とこ
とこ,）
）,の
の,間
間,（
（,ま
ま,）
）,がついている
がついている,。
。,おれは
おれは,生
生,れてからまだこんな
れてからまだこんな,立派
立派,な
な,座敷
座敷,へはいった
へはいった,事
事,はない
はない,。
。,この
この,後
後,いつはいれるか
いつはいれるか,分
分,らないから
らないから,、
、,洋服
洋服,を
を,脱
脱,いで
いで,浴衣
浴衣,（
（,ゆかた
ゆかた,）
）,一枚
一枚,になって
になって,座敷
座敷,の
の,真中
真中,（
（,まんなか
まんなか,）
）,へ
へ,大
大,の
の,字
字,に
に,寝
寝,てみた
てみた,。
。,いい
いい,心持
心持,ちである
ちである,。
。,昼飯
昼飯,を
を,食
食,ってから
ってから,早速清
早速清,へ
へ,手紙
手紙,をかいてやった
をかいてやった,。
。,おれは
おれは,文章
文章,がまずい
がまずい,上
上,に
に,字
字,を
を,知
知,らないから
らないから,手紙
手紙,を
を,書
書,くのが
くのが,大嫌
大嫌,（
（,だいきら
だいきら,）
）,いだ
いだ,。
。,またやる
またやる,所
所,もない
もない,。
。,しかし
しかし,清
清,は
は,心配
心配,しているだろう
しているだろう,。
。,難船
難船,して
して,死
死,にやしないかなどと
にやしないかなどと,思
思,っちゃ
っちゃ,困
困,るから
るから,、
、,奮発
奮発,（
（,ふんぱつ
ふんぱつ,）
）,して
して,長
長,いのを
いのを,書
書,いてやった
いてやった,。
。,その
その,文句
文句,はこうである
はこうである,。「
。「,きのう
きのう,着
着,いた
いた,。
。,つまらん
つまらん,所
所,だ
だ,。
。,十五畳
十五畳,の
の,座敷
座敷,に
に,寝
寝,ている
ている,。
。,宿屋
宿屋,へ
へ,茶代
茶代,を
を,五円
五円,やった
やった,。
。,かみさんが
かみさんが,頭
頭,を
を,板
板,の
の,間
間,へすりつけた
へすりつけた,。
。,夕
夕,べは
べは,寝
寝,られなかった
られなかった,。
。,清
清,が
が,笹飴
笹飴,を
を,笹
笹,ごと
ごと,食
食,う
う,夢
夢,を
を,見
見,た
た,。
。,来年
来年,の
の,夏
夏,は
は,帰
帰,る
る,。
。,今日学校
今日学校,へ
へ,行
行,ってみんなにあだなをつけてやった
ってみんなにあだなをつけてやった,。
。,校長
校長,は
は,狸
狸,、
、,教頭
教頭,は
は,赤
赤,シャツ
シャツ,、
、,英語
英語,の
の,教師
教師,はうらなり
はうらなり,、
、,数学
数学,は
は,山嵐
山嵐,、
、,画学
画学,はのだいこ
はのだいこ,。
。,今
今,にいろいろな
にいろいろな,事
事,を
を,書
書,いてやる
いてやる,。
。,さようなら
さようなら,」
」,手紙
手紙,をかいてしまったら
をかいてしまったら,、
、,いい
いい,心持
心持,ちになって
ちになって,眠気
眠気,（
（,ねむけ
ねむけ,）
）,がさしたから
がさしたから,、
、,最前
最前,のように
のように,座敷
座敷,の
の,真中
真中,へのびのびと
へのびのびと,大
大,の
の,字
字,に
に,寝
寝,た
た,。
。,今度
今度,は
は,夢
夢,も
も,何
何,も
も,見
見,ないでぐっすり
ないでぐっすり,寝
寝,た
た,。
。,この
この,部屋
部屋,かいと
かいと,大
大,きな
きな,声
声,がするので
がするので,目
目,が
が,覚
覚,めたら
めたら,、
、,山嵐
山嵐,がはいって
がはいって,来
来,た
た,。
。,最前
最前,は
は,失敬
失敬,、
、,君
君,の
の,受持
受持,ちは
ちは,……
……,と
と,人
人,が
が,起
起,き
き,上
上,がるや
がるや,否
否,や
や,談判
談判,を
を,開
開,かれたので
かれたので,大
大,いに
いに,狼狽
狼狽,（
（,ろうばい
ろうばい,）
）,した
した,。
。,受持
受持,ちを
ちを,聞
聞,いてみると
いてみると,別段
別段,むずかしい
むずかしい,事
事,もなさそうだから
もなさそうだから,承知
承知,した
した,。
。,このくらいの
このくらいの,事
事,なら
なら,、
、,明後日
明後日,は
は,愚
愚,（
（,おろか
おろか,）、
）、,明日
明日,（
（,あした
あした,）
）,から
から,始
始,めろと
めろと,云
云,ったって
ったって,驚
驚,ろかない
ろかない,。
。,授業上
授業上,の
の,打
打,ち
ち,合
合,せが
せが,済
済,んだら
んだら,、
、,君
君,はいつまでこんな
はいつまでこんな,宿屋
宿屋,に
に,居
居,るつもりでもあるまい
るつもりでもあるまい,、
、,僕
僕,（
（,ぼく
ぼく,）
）,がいい
がいい,下宿
下宿,を
を,周旋
周旋,（
（,しゅうせん
しゅうせん,）
）,してやるから
してやるから,移
移,りたまえ
りたまえ,。
。,外
外,のものでは
のものでは,承知
承知,しないが
しないが,僕
僕,が
が,話
話,せばすぐ
せばすぐ,出来
出来,る
る,。
。,早
早,い
い,方
方,がいいから
がいいから,、
、,今日見
今日見,て
て,、
、,あす
あす,移
移,って
って,、
、,あさってから
あさってから,学校
学校,へ
へ,行
行,けば
けば,極
極,りがいいと
りがいいと,一人
一人,で
で,呑
呑,み
み,込
込,んでいる
んでいる,。
。,なるほど
なるほど,十五畳敷
十五畳敷,にいつまで
にいつまで,居
居,る
る,訳
訳,にも
にも,行
行,くまい
くまい,。
。,月給
月給,をみんな
をみんな,宿料
宿料,（
（,しゅくりょう
しゅくりょう,）
）,に
に,払
払,（
（,はら
はら,）
）,っても
っても,追
追,っつかないかもしれぬ
っつかないかもしれぬ,。
。,五円
五円,の
の,茶代
茶代,を
を,奮発
奮発,（
（,ふんぱつ
ふんぱつ,）
）,してすぐ
してすぐ,移
移,るのはちと
るのはちと,残念
残念,だが
だが,、
、,どうせ
どうせ,移
移,る
る,者
者,なら
なら,、
、,早
早,く
く,引
引,き
き,越
越,（
（,こ
こ,）
）,して
して,落
落,ち
ち,付
付,く
く,方
方,が
が,便利
便利,だから
だから,、
、,そこのところはよろしく
そこのところはよろしく,山嵐
山嵐,に
に,頼
頼,（
（,たの
たの,）
）,む
む,事
事,にした
にした,。
。,すると
すると,山嵐
山嵐,はともかくもいっしょに
はともかくもいっしょに,来
来,てみろと
てみろと,云
云,うから
うから,、
、,行
行,った
った,。
。,町
町,はずれの
はずれの,岡
岡,の
の,中腹
中腹,にある
にある,家
家,で
で,至極閑静
至極閑静,（
（,かんせい
かんせい,）
）,だ
だ,。
。,主人
主人,は
は,骨董
骨董,（
（,こっとう
こっとう,）
）,を
を,売買
売買,するいか
するいか,銀
銀,と
と,云
云,う
う,男
男,で
で,、
、,女房
女房,（
（,にょうぼう
にょうぼう,）
）,は
は,亭主
亭主,（
（,ていしゅ
ていしゅ,）
）,よりも
よりも,四
四,つばかり
つばかり,年嵩
年嵩,（
（,としかさ
としかさ,）
）,の
の,女
女,だ
だ,。
。,中学校
中学校,に
に,居
居,た
た,時
時,ウィッチ
ウィッチ,と
と,云
云,う
う,言葉
言葉,を
を,習
習,った
った,事
事,があるがこの
があるがこの,女房
女房,はまさに
はまさに,ウィッチ
ウィッチ,に
に,似
似,ている
ている,。
。,ウィッチ
ウィッチ,だって
だって,人
人,の
の,女房
女房,だから
だから,構
構,わない
わない,。
。,とうとう
とうとう,明日
明日,から
から,引
引,き
き,移
移,る
る,事
事,にした
にした,。
。,帰
帰,りに
りに,山嵐
山嵐,は
は,通町
通町,（
（,とおりちょう
とおりちょう,）
）,で
で,氷水
氷水,を
を,一杯
一杯,（
（,ぱい
ぱい,）
）,奢
奢,（
（,おご
おご,）
）,った
った,。
。,学校
学校,で
で,逢
逢,った
った,時
時,はやに
はやに,横風
横風,（
（,おうふう
おうふう,）
）,な
な,失敬
失敬,な
な,奴
奴,だと
だと,思
思,ったが
ったが,、
、,こんなにいろいろ
こんなにいろいろ,世話
世話,をしてくれるところを
をしてくれるところを,見
見,ると
ると,、
、,わるい
わるい,男
男,でもなさそうだ
でもなさそうだ,。
。,ただおれと
ただおれと,同
同,じようにせっかちで
じようにせっかちで,肝癪持
肝癪持,（
（,かんしゃくもち
かんしゃくもち,）
）,らしい
らしい,。
。,あとで
あとで,聞
聞,いたらこの
いたらこの,男
男,が
が,一番生徒
一番生徒,に
に,人望
人望,があるのだそうだ
があるのだそうだ,。
。,三
三,いよいよ
いよいよ,学校
学校,へ
へ,出
出,た
た,。
。,初
初,めて
めて,教場
教場,へはいって
へはいって,高
高,い
い,所
所,へ
へ,乗
乗,った
った,時
時,は
は,、
、,何
何,だか
だか,変
変,だった
だった,。
。,講釈
講釈,をしながら
をしながら,、
、,おれでも
おれでも,先生
先生,が
が,勤
勤,まるのかと
まるのかと,思
思,った
った,。
。,生徒
生徒,はやかましい
はやかましい,。
。,時
時,々
々,図抜
図抜,（
（,ずぬ
ずぬ,）
）,けた
けた,大
大,きな
きな,声
声,で
で,先生
先生,と
と,云
云,（
（,い
い,）
）,う
う,。
。,先生
先生,には
には,応
応,（
（,こた
こた,）
）,えた
えた,。
。,今
今,まで
まで,物理学校
物理学校,で
で,毎日先生先生
毎日先生先生,と
と,呼
呼,びつけていたが
びつけていたが,、
、,先生
先生,と
と,呼
呼,ぶのと
ぶのと,、
、,呼
呼,ばれるのは
ばれるのは,雲泥
雲泥,（
（,うんでい
うんでい,）
）,の
の,差
差,だ
だ,。
。,何
何,だか
だか,足
足,の
の,裏
裏,がむずむずする
がむずむずする,。
。,おれは
おれは,卑怯
卑怯,（
（,ひきょう
ひきょう,）
）,な
な,人間
人間,ではない
ではない,。
。,臆病
臆病,（
（,おくびょう
おくびょう,）
）,な
な,男
男,でもないが
でもないが,、
、,惜
惜,（
（,お
お,）
）,しい
しい,事
事,に
に,胆力
胆力,（
（,たんりょく
たんりょく,）
）,が
が,欠
欠,けている
けている,。
。,先生
先生,と
と,大
大,きな
きな,声
声,をされると
をされると,、
、,腹
腹,の
の,減
減,った
った,時
時,に
に,丸
丸,の
の,内
内,で
で,午砲
午砲,（
（,どん
どん,）
）,を
を,聞
聞,いたような
いたような,気
気,がする
がする,。
。,最初
最初,の
の,一時間
一時間,は
は,何
何,だかいい
だかいい,加減
加減,にやってしまった
にやってしまった,。
。,しかし
しかし,別段困
別段困,った
った,質問
質問,も
も,掛
掛,（
（,か
か,）
）,けられずに
けられずに,済
済,んだ
んだ,。
。,控所
控所,（
（,ひかえじょ
ひかえじょ,）
）,へ
へ,帰
帰,って
って,来
来,たら
たら,、
、,山嵐
山嵐,がどうだいと
がどうだいと,聞
聞,いた
いた,。
。,うんと
うんと,単簡
単簡,に
に,返事
返事,をしたら
をしたら,山嵐
山嵐,は
は,安心
安心,したらしかった
したらしかった,。
。,二時間目
二時間目,に
に,白墨
白墨,（
（,はくぼく
はくぼく,）
）,を
を,持
持,って
って,控所
控所,を
を,出
出,た
た,時
時,には
には,何
何,だか
だか,敵地
敵地,へ
へ,乗
乗,り
り,込
込,（
（,こ
こ,）
）,むような
むような,気
気,がした
がした,。
。,教場
教場,へ
へ,出
出,ると
ると,今度
今度,の
の,組
組,は
は,前
前,より
より,大
大,きな
きな,奴
奴,（
（,やつ
やつ,）
）,ばかりである
ばかりである,。
。,おれは
おれは,江戸
江戸,（
（,えど
えど,）
）,っ
っ,子
子,で
で,華奢
華奢,（
（,きゃしゃ
きゃしゃ,）
）,に
に,小作
小作,りに
りに,出来
出来,ているから
ているから,、
、,どうも
どうも,高
高,い
い,所
所,へ
へ,上
上,がっても
がっても,押
押,（
（,お
お,）
）,しが
しが,利
利,かない
かない,。
。,喧嘩
喧嘩,（
（,けんか
けんか,）
）,なら
なら,相撲取
相撲取,（
（,すもうとり
すもうとり,）
）,とでもやってみせるが
とでもやってみせるが,、
、,こんな
こんな,大僧
大僧,（
（,おおぞう
おおぞう,）
）,を
を,四十人
四十人,も
も,前
前,へ
へ,並
並,（
（,なら
なら,）
）,べて
べて,、
、,ただ
ただ,一枚
一枚,（
（,まい
まい,）
）,の
の,舌
舌,をたたいて
をたたいて,恐縮
恐縮,（
（,きょうしゅく
きょうしゅく,）
）,させる
させる,手際
手際,はない
はない,。
。,しかしこんな
しかしこんな,田舎者
田舎者,（
（,いなかもの
いなかもの,）
）,に
に,弱身
弱身,を
を,見
見,せると
せると,癖
癖,（
（,くせ
くせ,）
）,になると
になると,思
思,ったから
ったから,、
、,なるべく
なるべく,大
大,きな
きな,声
声,をして
をして,、
、,少
少,々
々,巻
巻,き
き,舌
舌,で
で,講釈
講釈,してやった
してやった,。
。,最初
最初,のうちは
のうちは,、
、,生徒
生徒,も
も,烟
烟,（
（,けむ
けむ,）
）,に
に,捲
捲,（
（,ま
ま,）
）,かれてぼんやりしていたから
かれてぼんやりしていたから,、
、,それ
それ,見
見,ろとますます
ろとますます,得意
得意,になって
になって,、
、,べらんめい
べらんめい,調
調,を
を,用
用,いてたら
いてたら,、
、,一番前
一番前,の
の,列
列,の
の,真中
真中,（
（,まんなか
まんなか,）
）,に
に,居
居,た
た,、
、,一番強
一番強,そうな
そうな,奴
奴,が
が,、
、,いきなり
いきなり,起立
起立,して
して,先生
先生,と
と,云
云,う
う,。
。,そら
そら,来
来,たと
たと,思
思,いながら
いながら,、
、,何
何,だと
だと,聞
聞,いたら
いたら,、「
、「,あまり
あまり,早
早,くて
くて,分
分,からんけれ
からんけれ,、
、,もちっと
もちっと,、
、,ゆるゆる
ゆるゆる,遣
遣,（
（,や
や,）
）,って
って,、
、,おくれんかな
おくれんかな,、
、,もし
もし,」
」,と
と,云
云,った
った,。
。,おくれんかな
おくれんかな,、
、,もしは
もしは,生温
生温,（
（,なまぬ
なまぬ,）
）,るい
るい,言葉
言葉,だ
だ,。
。,早過
早過,ぎるなら
ぎるなら,、
、,ゆっくり
ゆっくり,云
云,ってやるが
ってやるが,、
、,おれは
おれは,江戸
江戸,っ
っ,子
子,だから
だから,君等
君等,（
（,きみら
きみら,）
）,の
の,言葉
言葉,は
は,使
使,えない
えない,、
、,分
分,（
（,わか
わか,）
）,らなければ
らなければ,、
、,分
分,るまで
るまで,待
待,ってるがいいと
ってるがいいと,答
答,えてやった
えてやった,。
。,この
この,調子
調子,で
で,二時間目
二時間目,は
は,思
思,ったより
ったより,、
、,うまく
うまく,行
行,った
った,。
。,ただ
ただ,帰
帰,りがけに
りがけに,生徒
生徒,の
の,一人
一人,がちょっとこの
がちょっとこの,問題
問題,を
を,解釈
解釈,をしておくれんかな
をしておくれんかな,、
、,もし
もし,、
、,と
と,出来
出来,そうもない
そうもない,幾何
幾何,（
（,きか
きか,）
）,の
の,問題
問題,を
を,持
持,って
って,逼
逼,（
（,せま
せま,）
）,ったには
ったには,冷汗
冷汗,（
（,ひやあせ
ひやあせ,）
）,を
を,流
流,した
した,。
。,仕方
仕方,がないから
がないから,何
何,だか
だか,分
分,らない
らない,、
、,この
この,次教
次教,えてやると
えてやると,急
急,いで
いで,引
引,き
き,揚
揚,（
（,あ
あ,）
）,げたら
げたら,、
、,生徒
生徒,がわあと
がわあと,囃
囃,（
（,はや
はや,）
）,した
した,。
。,その
その,中
中,に
に,出来
出来,ん
ん,出来
出来,んと
んと,云
云,う
う,声
声,が
が,聞
聞,（
（,きこ
きこ,）
）,える
える,。
。,箆棒
箆棒,（
（,べらぼう
べらぼう,）
）,め
め,、
、,先生
先生,だって
だって,、
、,出来
出来,ないのは
ないのは,当
当,り
り,前
前,だ
だ,。
。,出来
出来,ないのを
ないのを,出来
出来,ないと
ないと,云
云,うのに
うのに,不思議
不思議,があるもんか
があるもんか,。
。,そんなものが
そんなものが,出来
出来,るくらいなら
るくらいなら,四十円
四十円,でこんな
でこんな,田舎
田舎,へくるもんかと
へくるもんかと,控所
控所,へ
へ,帰
帰,って
って,来
来,た
た,。
。,今度
今度,はどうだとまた
はどうだとまた,山嵐
山嵐,が
が,聞
聞,いた
いた,。
。,うんと
うんと,云
云,ったが
ったが,、
、,うんだけでは
うんだけでは,気
気,が
が,済
済,まなかったから
まなかったから,、
、,この
この,学校
学校,の
の,生徒
生徒,は
は,分
分,らずやだなと
らずやだなと,云
云,ってやった
ってやった,。
。,山嵐
山嵐,は
は,妙
妙,（
（,みょう
みょう,）
）,な
な,顔
顔,をしていた
をしていた,。
。,三時間目
三時間目,も
も,、
、,四時間目
四時間目,も
も,昼過
昼過,ぎの
ぎの,一時間
一時間,も
も,大同小異
大同小異,であった
であった,。
。,最初
最初,の
の,日
日,に
に,出
出,た
た,級
級,は
は,、
、,いずれも
いずれも,少
少,々
々,ずつ
ずつ,失敗
失敗,した
した,。
。,教師
教師,ははたで
ははたで,見
見,るほど
るほど,楽
楽,じゃないと
じゃないと,思
思,った
った,。
。,授業
授業,はひと
はひと,通
通,り
り,済
済,んだが
んだが,、
、,まだ
まだ,帰
帰,れない
れない,、
、,三時
三時,までぽつ
までぽつ,然
然,（
（,ねん
ねん,）
）,として
として,待
待,ってなくてはならん
ってなくてはならん,。
。,三時
三時,になると
になると,、
、,受持級
受持級,の
の,生徒
生徒,が
が,自分
自分,の
の,教室
教室,を
を,掃除
掃除,（
（,そうじ
そうじ,）
）,して
して,報知
報知,（
（,しらせ
しらせ,）
）,にくるから
にくるから,検分
検分,をするんだそうだ
をするんだそうだ,。
。,それから
それから,、
、,出席簿
出席簿,（
（,しゅっせきぼ
しゅっせきぼ,）
）,を
を,一応調
一応調,べてようやくお
べてようやくお,暇
暇,（
（,ひま
ひま,）
）,が
が,出
出,る
る,。
。,いくら
いくら,月給
月給,で
で,買
買,われた
われた,身体
身体,（
（,からだ
からだ,）
）,だって
だって,、
、,あいた
あいた,時間
時間,まで
まで,学校
学校,へ
へ,縛
縛,（
（,しば
しば,）
）,りつけて
りつけて,机
机,と
と,睨
睨,（
（,にら
にら,）
）,めっくらをさせるなんて
めっくらをさせるなんて,法
法,があるものか
があるものか,。
。,しかしほかの
しかしほかの,連中
連中,はみんな
はみんな,大人
大人,（
（,おとな
おとな,）
）,しくご
しくご,規則通
規則通,りやってるから
りやってるから,新参
新参,のおればかり
のおればかり,、
、,だだを
だだを,捏
捏,（
（,こ
こ,）
）,ねるのもよろしくないと
ねるのもよろしくないと,思
思,って
って,我慢
我慢,（
（,がまん
がまん,）
）,していた
していた,。
。,帰
帰,りがけに
りがけに,、
、,君何
君何,でもかんでも
でもかんでも,三時過
三時過,（
（,すぎ
すぎ,）
）,まで
まで,学校
学校,にいさせるのは
にいさせるのは,愚
愚,（
（,おろか
おろか,）
）,だぜと
だぜと,山嵐
山嵐,に
に,訴
訴,えたら
えたら,、
、,山嵐
山嵐,はそうさ
はそうさ,アハハハ
アハハハ,と
と,笑
笑,ったが
ったが,、
、,あとから
あとから,真面目
真面目,（
（,まじめ
まじめ,）
）,になって
になって,、
、,君
君,あまり
あまり,学校
学校,の
の,不平
不平,を
を,云
云,うと
うと,、
、,いかんぜ
いかんぜ,。
。,云
云,うなら
うなら,僕
僕,（
（,ぼく
ぼく,）
）,だけに
だけに,話
話,せ
せ,、
、,随分
随分,（
（,ずいぶん
ずいぶん,）
）,妙
妙,な
な,人
人,も
も,居
居,るからなと
るからなと,忠告
忠告,がましい
がましい,事
事,を
を,云
云,った
った,。
。,四
四,つ
つ,角
角,で
で,分
分,れたから
れたから,詳
詳,（
（,くわ
